dt(GPS)	frame	 LO(m)	 AO(rad)
210.9986	1318	0.0578	-0.0428
210.9986	1319	0.0581	-0.0457
210.9986	1320	0.0547	-0.0488
210.9986	1321	0.0534	-0.0497
210.9986	1322	0.0547	-0.0519
211.9991	1323	0.0509	-0.0546
211.9991	1324	0.0516	-0.0554
211.9991	1325	0.0538	-0.0560
211.9991	1326	0.0543	-0.0582
211.9991	1327	0.0524	-0.0594
211.9991	1328	0.0513	-0.0595
212.9990	1329	0.0682	-0.0601
212.9990	1330	0.0689	-0.0616
212.9990	1331	0.0679	-0.0634
212.9990	1332	0.0676	-0.0642
212.9990	1333	0.0679	-0.0642
212.9990	1334	0.0688	-0.0658
213.9990	1335	0.0735	-0.0680
213.9990	1336	0.0711	-0.0691
213.9990	1337	0.0700	-0.0707
213.9990	1338	0.0687	-0.0735
213.9990	1339	0.0698	-0.0737
213.9990	1340	0.0708	-0.0750
214.9986	1341	0.0718	-0.0706
214.9986	1342	0.0717	-0.0686
214.9986	1343	0.0710	-0.0634
214.9986	1344	0.0724	-0.0584
214.9986	1345	0.0743	-0.0529
214.9986	1346	0.0750	-0.0520
215.9986	1347	0.0828	-0.0544
215.9986	1348	0.0822	-0.0557
215.9986	1349	0.0819	-0.0578
215.9986	1350	0.0817	-0.0577
215.9986	1351	0.0830	-0.0529
215.9986	1352	0.0850	-0.0474
216.9992	1353	0.0997	-0.0458
216.9992	1354	0.1021	-0.0456
216.9992	1355	0.1034	-0.0466
216.9992	1356	0.1031	-0.0480
216.9992	1357	0.1012	-0.0483
216.9992	1358	0.1012	-0.0476
216.9992	1359	0.1024	-0.0481
217.9988	1360	0.0986	-0.0485
217.9988	1361	0.0992	-0.0489
217.9988	1362	0.0999	-0.0493
217.9988	1363	0.1003	-0.0503
217.9988	1364	0.0989	-0.0518
217.9988	1365	0.0974	-0.0516
218.9995	1366	0.0922	-0.0518
218.9995	1367	0.0937	-0.0527
218.9995	1368	0.0963	-0.0524
218.9995	1369	0.0984	-0.0523
218.9995	1370	0.0984	-0.0518
218.9995	1371	0.0964	-0.0526
219.9990	1372	0.0773	-0.0513
219.9990	1373	0.0812	-0.0497
219.9990	1374	0.0814	-0.0511
219.9990	1375	0.0816	-0.0509
219.9990	1376	0.0813	-0.0512
219.9990	1377	0.0808	-0.0508
220.9989	1378	0.0661	-0.0519
220.9989	1379	0.0651	-0.0550
220.9989	1380	0.0643	-0.0564
220.9989	1381	0.0625	-0.0587
220.9989	1382	0.0594	-0.0602
220.9989	1383	0.0596	-0.0611
221.9989	1384	0.0496	-0.0613
221.9989	1385	0.0528	-0.0617
221.9989	1386	0.0538	-0.0588
221.9989	1387	0.0568	-0.0398
221.9989	1388	0.0613	-0.0181
221.9989	1389	0.0623	-0.0065
222.9988	1390	0.0751	-0.0013
222.9988	1391	0.0754	-0.0002
222.9988	1392	0.0730	-0.0025
222.9988	1393	0.0712	-0.0057
222.9988	1394	0.0700	-0.0071
222.9988	1395	0.0711	-0.0080
223.9991	1396	0.0736	-0.0105
223.9991	1397	0.0752	-0.0116
223.9991	1398	0.0753	-0.0137
223.9991	1399	0.0736	-0.0139
223.9991	1400	0.0718	-0.0153
223.9991	1401	0.0752	-0.0167
224.9995	1402	0.0802	-0.0186
224.9995	1403	0.0804	-0.0190
224.9995	1404	0.0793	-0.0218
224.9995	1405	0.0801	-0.0237
224.9995	1406	0.0799	-0.0243
224.9995	1407	0.0802	-0.0249
225.9992	1408	0.0944	-0.0254
225.9992	1409	0.0935	-0.0282
225.9992	1410	0.0934	-0.0304
225.9992	1411	0.0951	-0.0315
225.9992	1412	0.0960	-0.0321
225.9992	1413	0.0966	-0.0326
226.9989	1414	0.0917	-0.0332
226.9989	1415	0.0932	-0.0337
226.9989	1416	0.0945	-0.0350
226.9989	1417	0.0930	-0.0371
226.9989	1418	0.0921	-0.0381
226.9989	1419	0.0945	-0.0399
227.9977	1420	0.0817	-0.0417
227.9977	1421	0.0798	-0.0436
227.9977	1422	0.0798	-0.0434
227.9977	1423	0.0796	-0.0450
227.9977	1424	0.0754	-0.0457
227.9977	1425	0.0741	-0.0461
228.9991	1426	0.0767	-0.0476
228.9991	1427	0.0799	-0.0478
228.9991	1428	0.0813	-0.0489
228.9991	1429	0.0800	-0.0495
228.9991	1430	0.0779	-0.0486
228.9991	1431	0.0782	-0.0478
229.9990	1432	0.0678	-0.0478
229.9990	1433	0.0672	-0.0486
229.9990	1434	0.0677	-0.0491
229.9990	1435	0.0674	-0.0439
229.9990	1436	0.0700	-0.0285
229.9990	1437	0.0739	-0.0119
230.9987	1438	0.0876	-0.0054
230.9987	1439	0.0894	-0.0029
230.9987	1440	0.0905	-0.0039
230.9987	1441	0.0892	-0.0078
230.9987	1442	0.0889	-0.0098
230.9987	1443	0.0885	-0.0115
